pair,coin,tier,rank,direction,start_time,peak_time,duration_h,magnitude,abs_magnitude,max_vol_z_48h,max_vol_z_24h,mean_vol_z_24h,n_spike_hours_24h,had_volume_spike,vol_ramp_24h,vol_ramp_12h,vol_ramp_6h,buy_ratio_24h,buy_ratio_delta,max_trades_z_24h,pre_ret_24h,rvol_pctl_pre,was_coiling,lead_time_h,silent_volume_spike,retrace_frac,hours_to_half_retrace,btc_ret_24h,start_hour_utc,start_dow
SEIUSDT,SEI,mid,130,pump,2026-05-08 03:00:00+00:00,2026-05-09 03:00:00+00:00,24,0.12481548302443812,0.12481548302443812,2.2907182412061577,1.6876270360125996,0.719728498509732,0,True,-0.022509473912722178,-0.059020744877642126,-0.00033865271439720046,0.48455143805420836,-0.013629111558085993,1.9046582605805387,0.009813705921490445,60.138888888888886,False,26.0,True,0.2825229960578186,,-0.020032216648950607,3,4
SEIUSDT,SEI,mid,130,pump,2026-05-10 07:00:00+00:00,2026-05-10 18:00:00+00:00,11,0.14138438880706916,0.14138438880706916,3.6091709436836266,3.6091709436836266,1.192484262075024,3,True,0.029557783673618686,-0.0811916560706805,-0.11691938737768043,0.4983313967695633,0.00129570915213445,3.423718364861375,0.016256524981357323,90.69444444444444,False,39.0,True,1.1906249999999998,37.0,0.005853564092060282,7,6
SEIUSDT,SEI,mid,130,pump,2026-05-26 09:00:00+00:00,2026-05-27 07:00:00+00:00,22,0.14464116345241873,0.14464116345241873,1.842455530502374,1.842455530502374,0.15167862928781708,0,False,0.08546649523484398,0.11465042315726015,-0.03918654914577126,0.49574042475994745,0.002196514287482909,1.6569002694689166,0.026502908855849938,53.888888888888886,False,,False,0.9639344262295085,14.0,-0.009431950190647909,9,1
SEIUSDT,SEI,mid,130,pump,2026-06-12 06:00:00+00:00,2026-06-13 06:00:00+00:00,24,0.11999999999999988,0.11999999999999988,0.4580522591420784,0.4580522591420784,-0.9183095590244864,0,False,0.012791644365767277,-0.06484704011290653,0.044772702281660005,0.5315267105728094,0.04202214396187881,0.8391850482370423,0.03327095030151783,54.02777777777777,False,,False,0.4010152284263967,,0.011950167704839476,6,4
SEIUSDT,SEI,mid,130,pump,2026-06-24 17:00:00+00:00,2026-06-25 09:00:00+00:00,16,0.1493291853004084,0.1493291853004084,1.3066470125667278,0.9527855958196193,-0.851291292265204,0,False,0.05846079125533808,0.14330155435509262,0.13123053733963747,0.4842225116355629,-0.00935356832442269,1.4935574010237151,-0.004987531172069848,53.61111111111111,False,,False,1.1874999999999993,17.0,-0.04328782889478566,17,2
SEIUSDT,SEI,mid,130,dump,2026-01-29 07:00:00+00:00,2026-01-30 06:00:00+00:00,23,-0.09962049335863377,0.09962049335863377,0.9386076817329438,0.9386076817329438,-0.4371887522415034,0,False,0.024870694242866684,-0.013785600965867584,-0.11617802849944513,0.4810308414918747,-0.012438081415293178,1.0359275247102273,-0.00940733772342428,14.175654853620955,True,,False,0.11428571428571496,,-0.011174969465659879,7,3
SEIUSDT,SEI,mid,130,dump,2026-01-30 19:00:00+00:00,2026-01-31 18:00:00+00:00,23,-0.12734864300626303,0.12734864300626303,2.486051099183812,2.3230680086600324,0.8655282269595398,4,True,0.026193764003616272,-0.0001155915902042032,-0.0802606133517716,0.5088377987178798,0.016565007354416184,2.424003890681105,-0.03629032258064513,73.28467153284672,False,28.0,True,0.6721311475409846,46.0,0.0054399402374449846,19,4
SEIUSDT,SEI,mid,130,dump,2026-02-03 04:00:00+00:00,2026-02-03 18:00:00+00:00,14,-0.09259259259259267,0.09259259259259267,2.500735320206707,2.1137083971656425,0.22512931273393746,1,True,-0.05603655967520152,0.07341847319225532,0.4337847459023132,0.5040500116664219,0.015153822803352812,2.887651955670589,0.055164319248826255,87.91666666666667,False,25.0,True,0.6941176470588232,2.0,0.03224857647453283,4,1
SEIUSDT,SEI,mid,130,dump,2026-02-04 23:00:00+00:00,2026-02-05 23:00:00+00:00,24,-0.14319526627218937,0.14319526627218937,2.8928207750527943,1.5597602936915778,0.25382707528356563,0,True,0.050065433884883964,-0.05234006978594386,-0.1812541522181673,0.4858867918607526,-0.0014983662049325441,1.6959934119101825,-0.023282887077997638,65.55555555555556,False,43.0,False,0.6528925619834703,17.0,-0.04181084293602211,23,2
SEIUSDT,SEI,mid,130,dump,2026-05-12 00:00:00+00:00,2026-05-12 16:00:00+00:00,16,-0.10203816694794243,0.10203816694794243,5.010182618793087,3.826116599987256,2.0373372529482032,10,True,-0.055262613682052014,-0.20874502161580924,0.16635704250706138,0.47789598704406355,-0.01841213218881199,3.3516280735027153,0.023569023569023573,92.77777777777779,False,32.0,True,0.20483460559796426,,-0.005649186285816454,0,1
SEIUSDT,SEI,mid,130,dump,2026-05-22 12:00:00+00:00,2026-05-23 08:00:00+00:00,20,-0.09624846248462482,0.09624846248462482,1.5216275637551187,1.5216275637551187,0.06117043825818679,0,False,0.017864794306214543,0.027502116577883692,-0.021598595367115458,0.5079048497048526,0.017684971928676296,1.4439247994849116,0.053772201401336206,56.25,False,,False,0.8051118210862622,12.0,0.0031058789388656027,12,4
SEIUSDT,SEI,mid,130,dump,2026-05-28 17:00:00+00:00,2026-05-29 14:00:00+00:00,21,-0.10183615819209046,0.10183615819209046,2.9084409806777933,2.8539443484104074,1.4579543925400504,2,True,0.020237341763527716,0.051304877599113924,0.07212433800253225,0.4904052596069603,-0.004104852914304846,2.9931173563921853,0.024354460093896746,96.66666666666667,False,41.0,True,0.7628294036061024,10.0,-0.024744233408021676,17,3
SEIUSDT,SEI,mid,130,dump,2026-06-05 04:00:00+00:00,2026-06-06 04:00:00+00:00,24,-0.13004051707505315,0.13004051707505315,2.254964521456552,1.6314923724242365,0.4277022282525995,0,True,-0.0410009931938357,0.006708354758062899,0.09975979272789459,0.49250804465894876,0.0032555872462849966,1.6732392206714441,-0.08750000000000002,64.58333333333334,False,27.0,False,0.8130563798219579,23.0,-0.025379139633354253,4,4
SEIUSDT,SEI,mid,130,dump,2026-06-25 12:00:00+00:00,2026-06-26 12:00:00+00:00,24,-0.11387412107700223,0.11387412107700223,2.1280389227267333,2.1280389227267333,0.6333651750009563,1,True,0.061199974300386505,0.14708437046838593,0.2742861709339547,0.4956808574639899,0.0026612233355685078,2.0231243465988293,0.0967379077615298,79.72222222222223,False,4.0,False,0.29367469879518077,,-0.0260513191184083,12,3
GRASS-USDT,GRASS,mid,132,pump,2026-05-03 08:00:00+00:00,2026-05-04 04:00:00+00:00,20,0.12170447578172894,0.12170447578172894,8.5843855395125,8.5843855395125,1.9118860304475291,9,True,-0.105830097174138,0.12091005019649288,0.4586551698594893,,,,0.0033783783783782884,27.27272727272727,False,41.0,True,0.8312342569269526,4.0,0.0018313730503707326,8,6
GRASS-USDT,GRASS,mid,132,pump,2026-05-06 00:00:00+00:00,2026-05-06 12:00:00+00:00,12,0.10413611029627456,0.10413611029627456,5.8035255163058626,4.684572757422186,1.55827011178405,8,True,0.09882225904558002,-0.14669330985794263,-0.34006786357805574,,,,0.01378299120234594,78.62595419847328,False,48.0,True,0.6816901408450698,13.0,0.013079098298406366,0,2
GRASS-USDT,GRASS,mid,132,pump,2026-05-08 13:00:00+00:00,2026-05-09 05:00:00+00:00,16,0.1106120157215047,0.1106120157215047,4.088396073538883,0.499572994467106,-0.5367301019807881,0,True,-0.001204061915532935,0.007308423690765331,-0.17884846891877082,,,,-0.021975040694519832,5.88235294117647,True,43.0,True,1.2639593908629447,8.0,-0.013999037234292078,13,4
