pair,tier,time,vol_z,pnl,hours_held
DASHUSDT,mid,2025-01-10 22:00:00+00:00,3.23,-0.032084439723844775,36
DASHUSDT,mid,2025-01-16 00:00:00+00:00,3.03,0.08002671076062062,36
DASHUSDT,mid,2025-02-25 07:00:00+00:00,3.37,0.07182418050234152,36
DASHUSDT,mid,2025-03-23 08:00:00+00:00,4.83,0.02830449826989623,36
DASHUSDT,mid,2025-04-28 09:00:00+00:00,5.97,-0.04057974047718715,36
DASHUSDT,mid,2025-05-12 18:00:00+00:00,3.17,0.06015463917525777,36
DASHUSDT,mid,2025-05-30 22:00:00+00:00,3.72,-0.023385650224215234,36
DASHUSDT,mid,2025-06-11 09:00:00+00:00,3.22,-0.05499999999999993,27
DASHUSDT,mid,2025-06-20 17:00:00+00:00,3.27,-0.05500000000000004,28
DASHUSDT,mid,2025-06-30 18:00:00+00:00,3.97,-0.05500000000000004,24
DASHUSDT,mid,2025-07-10 23:00:00+00:00,3.1,0.008475836431226628,36
DASHUSDT,mid,2025-07-13 08:00:00+00:00,3.24,-0.021896398399288582,36
DASHUSDT,mid,2025-07-20 14:00:00+00:00,3.51,-0.010540166204986209,36
DASHUSDT,mid,2025-08-26 15:00:00+00:00,3.75,0.04892156862745079,36
DASHUSDT,mid,2025-09-18 05:00:00+00:00,3.77,-0.03965346534653468,36
DASHUSDT,mid,2025-10-01 13:00:00+00:00,3.11,0.11000000000000021,5
DASHUSDT,mid,2025-10-01 20:00:00+00:00,7.37,0.10999999999999999,9
DASHUSDT,mid,2025-10-02 08:00:00+00:00,3.6,0.10999999999999999,3
DASHUSDT,mid,2025-10-02 14:00:00+00:00,3.8,-0.05500000000000004,1
DASHUSDT,mid,2025-10-02 22:00:00+00:00,3.13,-0.05500000000000004,8
DASHUSDT,mid,2025-11-01 14:00:00+00:00,4.27,0.10999999999999999,16
DASHUSDT,mid,2025-11-04 20:00:00+00:00,3.07,-0.05500000000000004,1
DASHUSDT,mid,2026-01-13 07:00:00+00:00,3.75,0.10999999999999999,3
DASHUSDT,mid,2026-01-13 20:00:00+00:00,3.53,0.10999999999999999,10
DASHUSDT,mid,2026-01-14 13:00:00+00:00,3.51,0.07564150457297425,36
DASHUSDT,mid,2026-04-08 00:00:00+00:00,3.19,-0.024201462968607253,36
DASHUSDT,mid,2026-04-10 12:00:00+00:00,3.16,-0.05500000000000004,2
