pair,time,pnl,period,strategy
SUIUSDT,2024-03-19 18:00:00+00:00,0.08701520912547533,2024-H1,B_control
SUIUSDT,2024-04-02 04:00:00+00:00,-0.11507957559681703,2024-H1,B_control
SUIUSDT,2024-04-21 23:00:00+00:00,-0.1165569823434992,2024-H1,B_control
SUIUSDT,2024-05-13 21:00:00+00:00,0.15316899969347075,2024-H1,B_control
SUIUSDT,2024-05-25 07:00:00+00:00,-0.05501407525570056,2024-H1,B_control
SUIUSDT,2024-06-04 22:00:00+00:00,-0.05683564770781801,2024-H1,B_control
SUIUSDT,2024-06-13 20:00:00+00:00,-0.07478409904839856,2024-H1,B_control
SUIUSDT,2024-07-15 07:00:00+00:00,0.03587699739873663,2024-H2,B_control
SUIUSDT,2024-08-06 13:00:00+00:00,0.6746302755493546,2024-H2,B_control
SUIUSDT,2024-08-28 07:00:00+00:00,-0.03035832414553474,2024-H2,B_control
SUIUSDT,2024-09-06 07:00:00+00:00,0.22498420605029745,2024-H2,B_control
SUIUSDT,2024-09-17 05:00:00+00:00,0.35692714453584007,2024-H2,B_control
SUIUSDT,2024-10-14 13:00:00+00:00,-0.1084267912772584,2024-H2,B_control
SUIUSDT,2024-11-06 07:00:00+00:00,0.32842290295131893,2024-H2,B_control
SUIUSDT,2024-11-15 02:00:00+00:00,0.08061758697441845,2024-H2,B_control
SUIUSDT,2024-11-22 14:00:00+00:00,-0.011406389152230797,2024-H2,B_control
SUIUSDT,2024-12-13 10:00:00+00:00,-0.22898093779252826,2024-H2,B_control
SUIUSDT,2024-12-21 10:00:00+00:00,-0.15209221647533733,2024-H2,B_control
SUIUSDT,2025-01-01 17:00:00+00:00,0.09179343417473895,2025-H1,B_control
SUIUSDT,2025-01-14 17:00:00+00:00,0.013252876574747389,2025-H1,B_control
SUIUSDT,2025-02-03 16:00:00+00:00,-0.09297062039191506,2025-H1,B_control
SUIUSDT,2025-03-06 15:00:00+00:00,-0.24675485461830893,2025-H1,B_control
SUIUSDT,2025-03-28 01:00:00+00:00,-0.21099847864671994,2025-H1,B_control
SUIUSDT,2025-04-12 14:00:00+00:00,-0.0761535966088498,2025-H1,B_control
SUIUSDT,2025-04-25 00:00:00+00:00,0.060013444876008466,2025-H1,B_control
SUIUSDT,2025-05-18 23:00:00+00:00,-0.09170065697689167,2025-H1,B_control
SUIUSDT,2025-05-26 11:00:00+00:00,-0.09222933415501833,2025-H1,B_control
SUIUSDT,2025-06-02 22:00:00+00:00,0.026014475415719555,2025-H1,B_control
SUIUSDT,2025-06-17 14:00:00+00:00,-0.03555632630410654,2025-H1,B_control
SUIUSDT,2025-06-25 23:00:00+00:00,0.056136330355835436,2025-H1,B_control
SUIUSDT,2025-07-10 02:00:00+00:00,0.24962667517549464,2025-H2,B_control
SUIUSDT,2025-07-24 04:00:00+00:00,0.04110622352557825,2025-H2,B_control
SUIUSDT,2025-08-10 22:00:00+00:00,-0.01682222682119205,2025-H2,B_control
SUIUSDT,2025-09-07 13:00:00+00:00,0.07581757312345838,2025-H2,B_control
SUIUSDT,2025-09-27 10:00:00+00:00,0.08070896217626233,2025-H2,B_control
SUIUSDT,2025-10-09 01:00:00+00:00,-0.2356290400660649,2025-H2,B_control
SUIUSDT,2025-11-07 14:00:00+00:00,-0.10672629472104078,2025-H2,B_control
SUIUSDT,2025-11-15 20:00:00+00:00,-0.2567798621313143,2025-H2,B_control
SUIUSDT,2025-11-26 11:00:00+00:00,0.13624933404368667,2025-H2,B_control
SUIUSDT,2025-12-19 05:00:00+00:00,0.006307166006481628,2025-H2,B_control
SUIUSDT,2025-12-29 01:00:00+00:00,0.16851038474633995,2025-H2,B_control
SUIUSDT,2026-01-06 02:00:00+00:00,-0.10175761779970194,2026-H1,B_control
SUIUSDT,2026-01-16 19:00:00+00:00,-0.15819703233844928,2026-H1,B_control
SUIUSDT,2026-01-25 02:00:00+00:00,-0.2317930362304228,2026-H1,B_control
SUIUSDT,2026-02-13 08:00:00+00:00,0.00969799377749159,2026-H1,B_control
SUIUSDT,2026-03-22 22:00:00+00:00,-0.08203281027104137,2026-H1,B_control
SUIUSDT,2026-04-14 15:00:00+00:00,-0.0018203497615262255,2026-H1,B_control
SUIUSDT,2026-04-22 05:00:00+00:00,-0.0412378690894074,2026-H1,B_control
SUIUSDT,2026-04-30 14:00:00+00:00,0.07567375886524819,2026-H1,B_control
SUIUSDT,2026-05-14 18:00:00+00:00,-0.05818013951579814,2026-H1,B_control
SUIUSDT,2026-05-28 10:00:00+00:00,-0.1680482456140352,2026-H1,B_control
SUIUSDT,2026-06-07 16:00:00+00:00,0.00022718134298361104,2026-H1,B_control
SUIUSDT,2026-06-22 00:00:00+00:00,-0.03745924875974493,2026-H1,B_control
SUIUSDT,2026-07-01 13:00:00+00:00,-0.007679075014100363,2026-H2,B_control
SYNUSDT,2023-08-17 22:00:00+00:00,-0.12319849195027521,2023-H2,B_control
SYNUSDT,2023-09-07 07:00:00+00:00,-0.14977133702301182,2023-H2,B_control
SYNUSDT,2023-09-24 21:00:00+00:00,0.05478260869565211,2023-H2,B_control
SYNUSDT,2023-10-02 11:00:00+00:00,-0.14176515382272314,2023-H2,B_control
SYNUSDT,2023-10-21 15:00:00+00:00,0.18754863171777114,2023-H2,B_control
SYNUSDT,2023-11-22 10:00:00+00:00,0.05150728713883924,2023-H2,B_control
SYNUSDT,2023-12-09 22:00:00+00:00,-0.14549755301794454,2023-H2,B_control
SYNUSDT,2024-01-19 05:00:00+00:00,0.29548440811383603,2024-H1,B_control
SYNUSDT,2024-02-03 20:00:00+00:00,0.011142270861833063,2024-H1,B_control
SYNUSDT,2024-02-11 21:00:00+00:00,0.04263215859030834,2024-H1,B_control
SYNUSDT,2024-03-04 04:00:00+00:00,0.25030977350841643,2024-H1,B_control
SYNUSDT,2024-03-13 16:00:00+00:00,-0.2701990272622552,2024-H1,B_control
SYNUSDT,2024-04-01 18:00:00+00:00,0.26333976833976835,2024-H1,B_control
SYNUSDT,2024-04-24 02:00:00+00:00,-0.2272519867845343,2024-H1,B_control
SYNUSDT,2024-05-09 20:00:00+00:00,-0.076929615979075,2024-H1,B_control
SYNUSDT,2024-06-25 20:00:00+00:00,-0.07417320678956019,2024-H1,B_control
SYNUSDT,2024-07-20 22:00:00+00:00,-0.07481677917068463,2024-H2,B_control
SYNUSDT,2024-08-11 09:00:00+00:00,1.160032679738562,2024-H2,B_control
SYNUSDT,2024-09-05 06:00:00+00:00,0.05504901960784315,2024-H2,B_control
SYNUSDT,2024-09-27 04:00:00+00:00,-0.23769456394211952,2024-H2,B_control
SYNUSDT,2024-10-21 08:00:00+00:00,-0.05179122664500412,2024-H2,B_control
SYNUSDT,2024-10-28 12:00:00+00:00,-0.2169972733469666,2024-H2,B_control
SYNUSDT,2024-11-10 06:00:00+00:00,-0.037415183070205076,2024-H2,B_control
SYNUSDT,2025-01-08 13:00:00+00:00,0.0444252873563219,2025-H1,B_control
SYNUSDT,2025-01-24 16:00:00+00:00,-0.02814814814814814,2025-H1,B_control
SYNUSDT,2025-02-03 20:00:00+00:00,0.11222556606477496,2025-H1,B_control
