pair,time,absorb,pnl,hours_held,variant
DASHUSDT,2025-10-02 13:00:00+00:00,83.9,-0.17321848739495793,168,A_ladder
DASHUSDT,2025-10-13 01:00:00+00:00,94.9,-0.06970513057973704,168,A_ladder
DASHUSDT,2025-10-21 14:00:00+00:00,82.7,0.04586163522012576,168,A_ladder
DASHUSDT,2025-10-29 10:00:00+00:00,83.7,0.11299999999999999,62,A_ladder
DASHUSDT,2025-11-05 10:00:00+00:00,88.9,0.11299999999999999,5,A_ladder
DASHUSDT,2025-11-05 16:00:00+00:00,86.0,0.11299999999999999,18,A_ladder
DASHUSDT,2025-11-07 02:00:00+00:00,83.7,-0.46360938809723384,168,A_ladder
DASHUSDT,2025-11-28 10:00:00+00:00,80.1,-0.1733468975954262,168,A_ladder
DASHUSDT,2025-12-10 00:00:00+00:00,80.9,-0.19374805660753447,168,A_ladder
DASHUSDT,2026-01-14 05:00:00+00:00,80.8,0.11299999999999977,1,A_ladder
DASHUSDT,2026-03-17 23:00:00+00:00,81.8,-0.02724822695035467,168,A_ladder
DASHUSDT,2026-04-08 13:00:00+00:00,81.5,0.11300000000000021,37,A_ladder
DASHUSDT,2026-04-12 04:00:00+00:00,82.4,-0.20998122065727698,168,A_ladder
DASHUSDT,2026-04-23 23:00:00+00:00,80.3,-0.03268493150684926,168,A_ladder
DASHUSDT,2026-05-25 18:00:00+00:00,80.7,-0.12018778726198287,168,A_ladder
DEXEUSDT,2023-08-20 00:00:00+00:00,83.1,0.0007297543221111997,168,A_ladder
DEXEUSDT,2023-09-07 09:00:00+00:00,84.6,-0.0272883762200532,168,A_ladder
DEXEUSDT,2023-11-14 11:00:00+00:00,95.9,-0.174339405560882,168,A_ladder
DEXEUSDT,2023-12-06 15:00:00+00:00,80.3,0.11299999999999999,36,A_ladder
DEXEUSDT,2023-12-08 14:00:00+00:00,80.4,-0.2425589123867069,168,A_ladder
DEXEUSDT,2023-12-29 15:00:00+00:00,80.4,0.11299999999999999,14,A_ladder
DEXEUSDT,2024-01-01 13:00:00+00:00,80.3,-0.061956129661223436,168,A_ladder
DEXEUSDT,2024-01-13 05:00:00+00:00,86.8,-0.15158917351377477,168,A_ladder
DEXEUSDT,2024-02-23 15:00:00+00:00,80.3,0.11299999999999977,111,A_ladder
DEXEUSDT,2024-02-29 07:00:00+00:00,82.2,0.11299999999999999,31,A_ladder
DEXEUSDT,2024-03-08 13:00:00+00:00,80.9,0.0073226222354456656,168,A_ladder
DEXEUSDT,2024-08-09 17:00:00+00:00,80.0,0.0005668449197862042,168,A_ladder
DEXEUSDT,2024-09-11 04:00:00+00:00,82.0,-0.010425145819831448,168,A_ladder
DEXEUSDT,2024-11-06 15:00:00+00:00,80.2,0.11299999999999999,120,A_ladder
DEXEUSDT,2024-11-11 21:00:00+00:00,84.0,-0.024469572453968524,168,A_ladder
DEXEUSDT,2024-12-02 16:00:00+00:00,83.2,0.11299999999999999,39,A_ladder
DEXEUSDT,2024-12-12 20:00:00+00:00,86.5,-0.17159951456310674,168,A_ladder
DEXEUSDT,2024-12-21 05:00:00+00:00,83.0,0.11299999999999999,14,A_ladder
DEXEUSDT,2024-12-22 01:00:00+00:00,93.1,0.11300000000000021,5,A_ladder
DEXEUSDT,2024-12-23 11:00:00+00:00,97.5,0.11299999999999999,4,A_ladder
DEXEUSDT,2024-12-28 18:00:00+00:00,82.2,0.11299999999999999,50,A_ladder
DEXEUSDT,2025-01-01 02:00:00+00:00,81.3,0.11299999999999999,29,A_ladder
DEXEUSDT,2025-01-11 20:00:00+00:00,80.3,0.11299999999999977,95,A_ladder
DEXEUSDT,2025-01-19 20:00:00+00:00,80.7,0.11299999999999999,64,A_ladder
DEXEUSDT,2025-05-26 19:00:00+00:00,80.3,0.11299999999999999,96,A_ladder
DEXEUSDT,2025-06-05 19:00:00+00:00,92.5,-0.012299401197604752,168,A_ladder
DEXEUSDT,2025-06-25 00:00:00+00:00,80.7,-0.1533488797439414,168,A_ladder
DEXEUSDT,2025-07-11 08:00:00+00:00,81.7,-0.013234567901234449,168,A_ladder
DEXEUSDT,2025-08-27 18:00:00+00:00,80.7,-0.01593964000541359,168,A_ladder
DEXEUSDT,2025-10-17 00:00:00+00:00,80.2,-0.11975387623969824,168,A_ladder
DEXEUSDT,2025-11-01 16:00:00+00:00,80.0,-0.1448571428571429,168,A_ladder
DEXEUSDT,2026-02-23 17:00:00+00:00,80.4,0.11299999999999999,15,A_ladder
DEXEUSDT,2026-02-24 16:00:00+00:00,84.3,0.030359679266895867,168,A_ladder
DEXEUSDT,2026-03-09 12:00:00+00:00,85.1,0.11299999999999999,14,A_ladder
DEXEUSDT,2026-05-24 23:00:00+00:00,80.2,0.11299999999999999,5,A_ladder
DEXEUSDT,2026-05-25 10:00:00+00:00,80.1,0.07461189671952839,168,A_ladder
DOGEUSDT,2023-07-24 12:00:00+00:00,81.7,0.06638949323427967,168,A_ladder
DOGEUSDT,2023-11-02 02:00:00+00:00,83.0,0.08654718066743383,168,A_ladder
DOGEUSDT,2023-11-12 22:00:00+00:00,82.4,0.045267627183475545,168,A_ladder
DOGEUSDT,2023-11-24 07:00:00+00:00,83.3,0.07980602006688953,168,A_ladder
DOGEUSDT,2023-12-10 20:00:00+00:00,84.1,-0.074549975621648,168,A_ladder
DOGEUSDT,2024-03-03 05:00:00+00:00,82.0,0.11299999999999999,25,A_ladder
DOGEUSDT,2024-03-04 14:00:00+00:00,82.3,0.11299999999999999,10,A_ladder
DOGEUSDT,2024-03-05 04:00:00+00:00,87.1,-0.04307024884386701,168,A_ladder
DOGEUSDT,2024-03-12 05:00:00+00:00,80.3,-0.0806649830683579,168,A_ladder
DOGEUSDT,2024-03-30 23:00:00+00:00,83.7,0.004477501004419572,168,A_ladder
DOGEUSDT,2024-04-12 16:00:00+00:00,81.2,-0.2133842173350582,168,A_ladder
DOGEUSDT,2024-04-21 02:00:00+00:00,80.3,-0.08400427742132588,168,A_ladder
DOGEUSDT,2024-10-04 17:00:00+00:00,81.0,0.02035716257245368,168,A_ladder
DOGEUSDT,2024-10-16 13:00:00+00:00,82.6,0.11299999999999999,60,A_ladder
DOGEUSDT,2024-10-20 12:00:00+00:00,86.5,0.04250417726116984,168,A_ladder
DOGEUSDT,2024-10-28 15:00:00+00:00,83.9,0.11299999999999999,23,A_ladder
DOGEUSDT,2024-10-31 18:00:00+00:00,83.1,0.11299999999999999,128,A_ladder
DOGEUSDT,2024-11-15 01:00:00+00:00,86.8,0.053638048543950934,168,A_ladder
DOGEUSDT,2024-11-22 02:00:00+00:00,83.5,0.11299999999999999,26,A_ladder
DOGEUSDT,2024-11-23 15:00:00+00:00,84.3,-0.07248787459050643,168,A_ladder
DOGEUSDT,2024-12-05 10:00:00+00:00,80.2,0.003680285959911213,168,A_ladder
DOGEUSDT,2024-12-23 09:00:00+00:00,81.5,0.012827433907502074,168,A_ladder
DOGEUSDT,2025-05-11 01:00:00+00:00,90.2,-0.10240294105429315,168,A_ladder
DOGEUSDT,2025-05-22 14:00:00+00:00,80.1,-0.08226075402757016,168,A_ladder
DOGEUSDT,2025-07-12 05:00:00+00:00,80.3,0.11299999999999999,140,A_ladder
DOGEUSDT,2025-07-22 10:00:00+00:00,81.6,-0.16014404535451876,168,A_ladder
DOGEUSDT,2025-08-10 15:00:00+00:00,84.0,0.05743500881455055,168,A_ladder
DOGEUSDT,2025-08-22 22:00:00+00:00,82.1,-0.11382121971595649,168,A_ladder
DOGEUSDT,2025-09-14 03:00:00+00:00,82.5,-0.06063453815261033,168,A_ladder
DOGEUSDT,2026-03-10 18:00:00+00:00,80.1,0.06686327920377177,168,A_ladder
DOGEUSDT,2026-03-18 08:00:00+00:00,80.5,-0.030159134181781844,168,A_ladder
DOTUSDT,2023-11-08 03:00:00+00:00,80.6,0.11299999999999999,88,A_ladder
DOTUSDT,2023-11-24 14:00:00+00:00,80.1,0.04095069337442214,168,A_ladder
DOTUSDT,2023-12-02 10:00:00+00:00,82.7,0.11299999999999999,145,A_ladder
DOTUSDT,2023-12-08 18:00:00+00:00,81.1,0.11299999999999999,14,A_ladder
DOTUSDT,2023-12-11 02:00:00+00:00,82.8,0.11299999999999999,92,A_ladder
DOTUSDT,2023-12-15 08:00:00+00:00,81.6,0.11299999999999999,157,A_ladder
DOTUSDT,2023-12-26 20:00:00+00:00,81.4,-0.03966847137426566,168,A_ladder
DOTUSDT,2024-02-24 09:00:00+00:00,80.6,0.11300000000000021,162,A_ladder
DOTUSDT,2024-03-05 18:00:00+00:00,80.1,0.0807237669981733,168,A_ladder
DOTUSDT,2024-03-13 02:00:00+00:00,81.9,-0.05270367979341517,168,A_ladder
DOTUSDT,2024-03-22 06:00:00+00:00,81.1,0.017916479280436937,168,A_ladder
