pair,tier,time,vol_z,pnl,win,hours_held,rsi14,bbw_pctl,dist_30d_high,dist_30d_low,obv_chg_pctl,macd_rel,atr_pctl,vwap7_dist,ret_7d,ret_24h,spike_hours_24h,buy_ratio,hour_utc,dow,btc_ret_24h
CHZUSDT,small,2024-08-05 05:00:00+00:00,4.44,0.09484210526315806,True,36,18.9052963101405,100.0,-0.37252311756935275,0.006355932203389925,0.1388888888888889,-0.016689408006290856,99.72222222222223,-0.18675443865224928,-0.32528409090909094,-0.18103448275862077,9.0,0.43860161988905094,5.0,0.0,-0.11617621126171729
CHZUSDT,small,2024-10-09 17:00:00+00:00,5.18,-0.09242553191489367,False,36,69.71253538742444,100.0,0.0,0.4861660079051384,100.0,0.008591360171133355,100.0,0.10935544100582129,0.2533333333333334,0.13595166163142003,14.0,0.48912328929608834,17.0,2.0,-0.012082307815246884
CHZUSDT,small,2025-06-26 02:00:00+00:00,4.68,-0.05781523233434138,False,36,57.98958645152553,80.0,-0.1903383793410508,0.15496983169260092,30.416666666666664,0.003182668254999157,85.97222222222223,0.051969410991492326,0.03529746655280386,0.01905295601008694,2.0,0.3853898365293009,2.0,3.0,0.011754960148957494
CHZUSDT,small,2025-07-04 08:00:00+00:00,4.42,-0.020284106891701792,False,36,31.631179787210257,55.13888888888889,-0.12416851441241694,0.12892981899015554,2.7777777777777777,-0.003598802750205955,35.97222222222222,-0.0012793166924951471,0.030733545955349273,-0.03762858689767201,2.0,0.32646957167234103,8.0,4.0,-0.005307467057101056
CHZUSDT,small,2025-08-13 14:00:00+00:00,4.42,-0.07941493491664775,False,36,57.68392086553944,31.805555555555554,-0.06571367612545331,0.19841269841269837,56.52777777777778,0.000335893238022839,59.02777777777778,0.03684539105173168,0.12023535431056542,0.0381697486960646,1.0,0.6928969336162029,14.0,2.0,0.024574548780431416
CHZUSDT,small,2025-09-30 10:00:00+00:00,4.37,0.11299999999999999,True,23,46.15255818560736,56.94444444444444,-0.11168889893737277,0.037496699234222275,41.11111111111111,-0.0017537650258620842,54.44444444444444,-0.0015369573634748113,-0.014052697616060206,-0.006573957016434928,2.0,0.5262621452779094,10.0,1.0,0.005985769447930611
CHZUSDT,small,2025-10-29 18:00:00+00:00,4.19,-0.05071237977040033,False,36,48.70083719676152,16.25,-0.3085174855181291,0.12810640532026607,12.63888888888889,0.0015760694995820236,45.13888888888889,-0.007036013685440046,0.018003790271636122,-0.015577275503970589,1.0,0.4808363974430983,18.0,2.0,-0.029547315465348167
CHZUSDT,small,2025-11-28 08:00:00+00:00,4.66,0.015201455507773744,True,36,71.57831670154069,46.111111111111114,-0.14435324087178036,0.10895084372707275,96.80555555555556,0.0020697495458361485,27.77777777777778,0.056949588037584986,0.09133574007220213,0.04061962134251296,2.0,0.43807177374640005,8.0,4.0,-0.005442282400052401
CHZUSDT,small,2025-12-06 10:00:00+00:00,4.04,0.011201320132013139,True,36,54.15363460353365,74.16666666666667,-0.1423719218794226,0.11151870873074099,99.72222222222223,0.0029059109506017165,81.94444444444444,0.002552730626968369,-0.013350700097688017,0.002979145978152964,6.0,0.46632765946192284,10.0,5.0,-0.01705766007934284
DASHUSDT,mid,2023-07-23 13:00:00+00:00,4.55,-0.06860772178013552,False,36,67.9054175344964,59.78947368421053,-0.11294117647058821,0.07271577616187175,95.31914893617022,0.0016017874954255863,30.14553014553015,0.03554984826497298,0.010422870756402691,0.03508236729713232,1.0,0.5804684051899416,13.0,6.0,0.002642687002108568
DASHUSDT,mid,2023-09-29 12:00:00+00:00,5.27,0.02339565697460433,True,36,61.312960937481684,15.833333333333332,-0.0058543724844491996,0.10852713178294571,100.0,-0.0004175827261880948,38.47222222222222,0.014935369326074976,0.02877697841726623,0.017984263769202036,1.0,0.4274715226984826,12.0,4.0,0.018652086930017964
DASHUSDT,mid,2023-10-16 13:00:00+00:00,5.47,-0.03982323427248169,False,36,54.93218230454414,53.75,-0.09342197340797753,0.03889334402566158,10.277777777777777,0.00029151761023714134,83.61111111111111,0.01248845499640816,-0.014079147640791545,0.01927616050354053,3.0,0.4544264183078314,13.0,0.0,0.03911783752525322
DASHUSDT,mid,2023-10-24 03:00:00+00:00,4.64,0.013113350125944613,True,36,61.512576854869124,100.0,-0.029678770949720712,0.12921576594880135,95.55555555555556,0.004775910450344446,100.0,0.0705887762590165,0.07922330097087382,0.04512974802557346,9.0,0.40319736843872184,3.0,1.0,0.13796788028795604
DASHUSDT,mid,2024-02-16 06:00:00+00:00,4.21,0.017601100412654835,True,36,57.207939420795086,32.083333333333336,-0.012898845892736044,0.11374952125622362,18.47222222222222,-7.031440331231415e-05,73.88888888888889,0.04022052839890922,0.07345884090070132,0.032670454545454586,3.0,0.4897115902472643,6.0,4.0,0.0020925535350719837
DASHUSDT,mid,2024-05-24 11:00:00+00:00,7.44,0.020750083640013406,True,36,41.15519353197358,56.80555555555556,-0.0635964912280702,0.11197916666666674,0.1388888888888889,3.563442803186393e-05,100.0,-0.01508047902579801,0.014596062457569614,-0.02954545454545454,3.0,0.529682986257914,11.0,4.0,-0.0314044811403853
DASHUSDT,mid,2024-07-02 08:00:00+00:00,4.07,0.005092198581560405,True,36,36.09102481519001,54.30555555555555,-0.21512770137524562,0.07392473118279574,97.91666666666666,-0.0006281488037109207,19.72222222222222,-0.012992644586890645,0.019566142067205305,-0.022430668841761814,1.0,0.49459238813194634,8.0,1.0,-0.010238181328566132
DASHUSDT,mid,2024-10-01 22:00:00+00:00,7.07,0.00997339246119733,True,36,18.110334244411874,100.0,-0.1516177577125658,0.0,0.1388888888888889,-0.006098995842410208,100.0,-0.08913714224696878,-0.13068619892058597,-0.08258746948738804,3.0,0.4516847404536968,22.0,1.0,-0.04026124002522169
DASHUSDT,mid,2024-11-11 19:00:00+00:00,4.31,-0.0346923076923078,False,36,53.72442252798058,79.58333333333333,-0.02365752910251595,0.22989593188268675,19.86111111111111,-0.0003281306827566922,99.58333333333333,0.06450458123262459,0.1981566820276499,-0.01365705614567525,10.0,0.3344367722995444,19.0,0.0,0.06573229246701318
DASHUSDT,mid,2024-11-16 15:00:00+00:00,4.1,-0.021972451790633563,False,36,76.76027027483738,85.97222222222223,0.0,0.37369914853358543,100.0,0.001050950631627039,93.47222222222223,0.10923362522329527,0.20049607275733772,0.13040093421564802,9.0,0.48931461789673725,15.0,5.0,0.020873775839156172
DASHUSDT,mid,2025-03-23 08:00:00+00:00,4.83,0.03130449826989623,True,36,39.687131118958995,3.4722222222222223,-0.1853417899929527,0.14003944773175547,0.9722222222222222,-0.0011008334062197775,60.83333333333333,-0.016506249239709114,-0.002157962883038489,-0.0068728522336769515,1.0,0.5183842117494674,8.0,6.0,6.051636837245411e-05
DASHUSDT,mid,2025-04-28 09:00:00+00:00,5.97,-0.03757974047718715,False,36,72.01972874594698,100.0,-0.020500205002049965,0.32354570637119107,98.47222222222223,0.014393975695271729,100.0,0.057537696791699844,0.10858468677494204,0.09186471663619744,7.0,0.5047978438272148,9.0,0.0,0.005348902062163763
DASHUSDT,mid,2025-07-11 15:00:00+00:00,5.91,-0.003368613138686192,False,36,57.55782568820623,72.5,-0.024042742653606397,0.2280112044817928,61.80555555555556,-0.000590244035564861,96.25,0.05804234729569613,0.10150753768844245,0.057404727448142845,7.0,0.498408361040124,15.0,4.0,0.05942233165182831
DASHUSDT,mid,2025-10-01 20:00:00+00:00,7.37,0.11299999999999999,True,9,69.68037601156878,99.86111111111111,-0.056799740344044114,0.453726863431716,99.86111111111111,0.01637370219216919,100.0,0.10840914331142137,0.35921421889616467,0.281305114638448,16.0,0.4769339128335906,20.0,2.0,0.026928473848240042
DASHUSDT,mid,2025-11-01 14:00:00+00:00,4.27,0.11299999999999999,True,16,72.5358133528347,97.08333333333333,-0.051074518559866,1.3668639053254439,75.83333333333333,0.013640551488143367,100.0,0.25602672359620193,0.6577279375914187,0.4342965619067709,11.0,0.46918726320026505,14.0,5.0,-0.0019178895970261012
DASHUSDT,mid,2026-01-14 00:00:00+00:00,4.79,0.11299999999999999,True,6,63.55621619415317,98.05555555555556,-0.09627667861037548,0.6466080045415841,92.91666666666667,-0.0060917496333766025,99.02777777777779,0.11233124955129803,0.3262459990855051,0.4416003976143139,24.0,0.48263033258821975,0.0,2.0,0.04510373925749378
DASHUSDT,mid,2026-01-14 17:00:00+00:00,4.06,0.07553771176607094,True,36,76.6582199506268,98.88888888888889,0.0,1.4462106159523138,98.88888888888889,0.01716958453781789,99.72222222222223,0.4208811169846851,1.0897187196896216,0.54527523758293,24.0,0.5882747232609613,17.0,2.0,0.041799180487169796
EIGENUSDT,small,2025-05-08 23:00:00+00:00,4.85,0.11299999999999999,True,8,79.35340844601104,100.0,-0.0035335689045936647,0.6324167872648336,98.88888888888889,0.014782744824812833,100.0,0.2367350607992995,0.12015888778550154,0.4554838709677418,17.0,0.6516247698786569,23.0,3.0,0.05917026104923062
EIGENUSDT,small,2025-05-09 09:00:00+00:00,4.08,0.11299999999999999,True,35,63.465874901209595,98.19444444444444,-0.10609480812641081,0.6522948539638387,51.11111111111111,0.005268665123456901,100.0,0.1864799193214115,0.22474226804123698,0.33034714445688684,22.0,0.45630068759347087,9.0,4.0,0.0331263232860417
